,ID,Name,Gender,Age,City,Salary,Joining_Date,Height,Fraud
0,101,Alice,M,25.0,New York,50000.0,01-12-21,65.0,0.0
1,102,Bob,M,30.5,New York,60000.0,30-09-17,170.0,1.0
2,103,Charlie,F,45.0,New York,70000.0,15-07-20,180.0,0.0
3,104,Dave,F,39.0,Los Angeles,80000.0,30-09-17,68.0,1.0
4,105,Eve,F,30.5,Los Angeles,90000.0,30-09-17,72.0,0.0
5,106,Frank,M,30.0,San Fransisco,10000.0,25-01-17,155.0,0.0
6,107,Grace,M,29.0,San Francisco,120000.0,20-02-22,69.0,1.0
7,108,Henry,F,27.0,San Fransisco,65000.0,10-03-23,73.0,
8,109,Isabel,F,30.5,Boston,55000.0,21-05-19,175.0,
9,110,Jason,M,37.0,Boston,45000.0,30-09-17,69.0,0.0
10,111,Kate,F,30.5,Chicago,76000.0,30-09-17,162.0,0.0
11,112,Leo,F,30.5,Chicago,85000.0,30-09-17,71.0,1.0
12,113,Mia,M,30.5,Houston,95000.0,11-12-15,73.0,0.0
13,114,Nathan,M,34.0,Houston,65000.0,22-03-14,157.0,0.0
14,115,Olivia,F,29.0,Houston,130000.0,14-07-13,170.0,1.0
15,116,Paul,M,31.0,Houston,40000.0,05-06-12,68.0,0.0
